Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,LSG,T20,Mumbai,04 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,Mumbai,16 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,6*(5),RR,T20,Guwahati,07 Apr 26,120,1,0
INDIAN PREMIER LEAGUE 2026,DNB,DC,T20,Delhi,04 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Jaipur,26 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Mumbai,21 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,8*(8),GT,T20,Mumbai,06 May 25,100,1,0
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Jaipur,01 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,1*(1),LSG,T20,Mumbai,27 Apr 25,100,0,0
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Hyderabad,23 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,CSK,T20,Mumbai,20 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Mumbai,17 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Delhi,13 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,0(1),RCB,T20,Mumbai,07 Apr 25,0,0,0
INDIAN PREMIER LEAGUE 2025,DNB,LSG,T20,Lucknow,04 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,KKR,T20,Mumbai,31 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Ahmedabad,29 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,28*(15),CSK,T20,Chennai,23 Mar 25,186.6,2,2
INDIAN PREMIER LEAGUE 2024,DNB,PBKS,T20,Chennai,01 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,SRH,T20,Chennai,28 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,LSG,T20,Chennai,23 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,LSG,T20,Lucknow,19 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,SRH,T20,Hyderabad,05 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,DC,T20,Visakhapatnam,31 Mar 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,GT,T20,Chennai,26 Mar 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,RCB,T20,Chennai,22 Mar 24,DNB,DNB,DNB
"AUSTRALIA TOUR OF INDIA, 2023",0(2),AUS,T20I,Raipur,01 Dec 23,0,0,0
INDIAN PREMIER LEAGUE 2023,DNB,GT,T20,Ahmedabad,29 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,GT,T20,Chennai,23 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,DC,T20,Delhi,20 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,KKR,T20,Chennai,14 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,1*(2),DC,T20,Chennai,10 May 23,50,0,0
INDIAN PREMIER LEAGUE 2023,DNB,MI,T20,Chennai,06 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,MI,T20,Mumbai,08 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,LSG,T20,Chennai,03 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,GT,T20,Ahmedabad,31 Mar 23,DNB,DNB,DNB
"INDIA TOUR OF BANGLADESH, 2022",11(18),BAN,ODI,Dhaka,07 Dec 22,61.1,0,1
"INDIA TOUR OF BANGLADESH, 2022",0(3),BAN,ODI,Dhaka,04 Dec 22,0,0,0
"INDIA TOUR OF NEW ZEALAND, 2022",12(9),NZ,ODI,Christchurch,30 Nov 22,133.3,0,2
"INDIA TOUR OF NEW ZEALAND, 2022",DNB,NZ,ODI,Hamilton,27 Nov 22,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF INDIA, 2022",31(17),RSA,T20I,Indore,04 Oct 22,182.3,2,3
"SOUTH AFRICA TOUR OF INDIA, 2022",DNB,RSA,T20I,Guwahati,02 Oct 22,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF INDIA, 2022",DNB,RSA,T20I,Thiruvananthapuram,28 Sep 22,DNB,DNB,DNB
"ASIA CUP, 2022",DNB,AFG,T20I,Dubai,08 Sep 22,DNB,DNB,DNB
"INDIA TOUR OF ZIMBABWE, 2022",1*(1),ZIM,ODI,Harare,22 Aug 22,100,0,0
