Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,12(16),IDN,T20I,"Sano, Kanto",08 May 26,75,0,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,9(15),THAI,T20I,Bangkok,13 Dec 25,60,1,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,19(19),IDN,T20I,Bangkok,11 Dec 25,100,2,1
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,6(8),SIN,T20I,Bangkok,10 Dec 25,75,1,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,10(12),MLY,T20I,Bangkok,09 Dec 25,83.3,1,0
INDONESIA T20I TRI-SERIES 2025,DNB,IDN,T20I,Bali,13 Jul 25,DNB,DNB,DNB
INDONESIA T20I TRI-SERIES 2025,5(9),SKR,T20I,Bali,12 Jul 25,55.5,0,0
INDONESIA T20I TRI-SERIES 2025,29*(13),SKR,T20I,Bali,10 Jul 25,223,2,2
INDONESIA T20I TRI-SERIES 2025,DNB,IDN,T20I,Bali,10 Jul 25,DNB,DNB,DNB
INDONESIA T20I TRI-SERIES 2025,9(10),SKR,T20I,Bali,09 Jul 25,90,0,0
INDONESIA T20I TRI-SERIES 2025,4(5),IDN,T20I,Bali,07 Jul 25,80,0,0
INDONESIA T20I TRI-SERIES 2025,DNB,SKR,T20I,Bali,07 Jul 25,DNB,DNB,DNB
INDONESIA T20I TRI-SERIES 2025,22(15),IDN,T20I,Bali,06 Jul 25,146.6,1,1
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",20(24),SKR,T20I,Incheon,05 Oct 24,83.3,2,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",32*(35),IDN,T20I,Incheon,04 Oct 24,91.4,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",12(12),JPN,T20I,Incheon,02 Oct 24,100,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",9*(7),SKR,T20I,Incheon,01 Oct 24,128.5,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",11*(8),IDN,T20I,Incheon,29 Sep 24,137.5,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",6(8),JPN,T20I,Incheon,28 Sep 24,75,0,0
"T20I TRI-SERIES IN SOUTH KOREA, 2024",5*(12),JPN,T20I,Incheon,26 Sep 24,41.6,0,0
