Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Lucknow,07 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,KKR,T20,Lucknow,26 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,2*(2),RR,T20,Lucknow,22 Apr 26,100,0,0
INDIAN PREMIER LEAGUE 2026,0*(3),RCB,T20,Bengaluru,15 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,DNB,GT,T20,Lucknow,12 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,KKR,T20,Kolkata,09 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,SRH,T20,Hyderabad,05 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Lucknow,27 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Lucknow,19 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Dharamsala,04 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,1(3),MI,T20,Mumbai,27 Apr 25,33.3,0,0
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Lucknow,22 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Jaipur,19 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,CSK,T20,Lucknow,14 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Lucknow,12 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,KKR,T20,Kolkata,08 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Lucknow,04 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Lucknow,01 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Hyderabad,27 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Visakhapatnam,24 Mar 25,DNB,DNB,DNB
