Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,CSK,T20,Delhi,05 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RR,T20,Jaipur,01 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Delhi,27 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,Delhi,25 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,SRH,T20,Hyderabad,21 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Bengaluru,18 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,1*(2),CSK,T20,Chennai,11 Apr 26,50,0,0
INDIAN PREMIER LEAGUE 2026,DNB,GT,T20,Delhi,08 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Delhi,04 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,LSG,T20,Lucknow,01 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Delhi,18 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Hyderabad,05 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,KKR,T20,Chennai,26 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,RR,T20,Chennai,24 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,KKR,T20,Ahmedabad,21 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,PBKS,T20,Hyderabad,19 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,LSG,T20,Hyderabad,08 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,MI,T20,Mumbai,06 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,RR,T20,Hyderabad,02 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,CSK,T20,Chennai,28 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,RCB,T20,Hyderabad,25 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,DC,T20,Delhi,20 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,RCB,T20,Bengaluru,15 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,PBKS,T20,New Chandigarh,09 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,CSK,T20,Hyderabad,05 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,KKR,T20,Kolkata,23 Mar 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,RCB,T20,Hyderabad,18 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,GT,T20,Ahmedabad,15 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,LSG,T20,Hyderabad,13 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,RR,T20,Jaipur,07 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,KKR,T20,Hyderabad,04 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,DC,T20,Delhi,29 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,DC,T20,Hyderabad,24 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,MI,T20,Hyderabad,18 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,KKR,T20,Kolkata,14 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,PBKS,T20,Hyderabad,09 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,LSG,T20,Lucknow,07 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,RR,T20,Hyderabad,02 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,MI,T20,Mumbai,17 May 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,KKR,T20,Pune,14 May 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,CSK,T20,Pune,01 May 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,GT,T20,Mumbai,27 Apr 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,RCB,T20,Mumbai,23 Apr 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,PBKS,T20,Navi Mumbai,17 Apr 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,KKR,T20,Mumbai,15 Apr 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,GT,T20,Navi Mumbai,11 Apr 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,CSK,T20,Navi Mumbai,09 Apr 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,LSG,T20,Navi Mumbai,04 Apr 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,RR,T20,Pune,29 Mar 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2021,DNB,RCB,T20,Chennai,14 Apr 21,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2021,DNB,KKR,T20,Chennai,11 Apr 21,DNB,DNB,DNB
"ENGLAND TOUR OF INDIA, 2021",DNB,ENG,ODI,Pune,28 Mar 21,DNB,DNB,DNB
"ENGLAND TOUR OF INDIA, 2021",DNB,ENG,T20I,Ahmedabad,20 Mar 21,DNB,DNB,DNB
"INDIA TOUR OF AUSTRALIA, 2020-21",1* & DNB,AUS,Test,Brisbane,15 Jan 21,11.1 & DNB,0 & DNB,0 & DNB
