Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,CSK,T20,Delhi,05 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RR,T20,Jaipur,01 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,3(11),RCB,T20,Delhi,27 Apr 26,27.2,0,0
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,Delhi,25 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,1*(2),SRH,T20,Hyderabad,21 Apr 26,50,0,0
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Bengaluru,18 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,4(7),CSK,T20,Chennai,11 Apr 26,57.1,0,0
INDIAN PREMIER LEAGUE 2026,1(1),GT,T20,Delhi,08 Apr 26,100,0,0
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Delhi,04 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,LSG,T20,Lucknow,01 Apr 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,DNB,PAK,T20I,Colombo,15 Feb 26,DNB,DNB,DNB
"NEW ZEALAND TOUR OF INDIA, 2026",1(3),NZ,T20I,Visakhapatnam,28 Jan 26,33.3,0,0
"NEW ZEALAND TOUR OF INDIA, 2026",DNB,NZ,T20I,Guwahati,25 Jan 26,DNB,DNB,DNB
"NEW ZEALAND TOUR OF INDIA, 2026",DNB,NZ,T20I,Raipur,23 Jan 26,DNB,DNB,DNB
"NEW ZEALAND TOUR OF INDIA, 2026",5(3),NZ,ODI,Indore,18 Jan 26,166.6,1,0
"NEW ZEALAND TOUR OF INDIA, 2026",DNB,NZ,ODI,Rajkot,14 Jan 26,DNB,DNB,DNB
"NEW ZEALAND TOUR OF INDIA, 2026",DNB,NZ,ODI,Vadodara,11 Jan 26,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF INDIA, 2025",DNB,RSA,T20I,Dharamsala,14 Dec 25,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF INDIA, 2025",DNB,RSA,ODI,Visakhapatnam,06 Dec 25,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF INDIA, 2025",DNB,RSA,ODI,Raipur,03 Dec 25,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF INDIA, 2025",0*(1),RSA,ODI,Ranchi,30 Nov 25,0,0,0
"SOUTH AFRICA TOUR OF INDIA, 2025",19 & 5,RSA,Test,Guwahati,22 Nov 25,14.1 & 13.1,3 & 1,0 & 0
"SOUTH AFRICA TOUR OF INDIA, 2025",1 & 1,RSA,Test,Kolkata,14 Nov 25,12.5 & 7.6,0 & 0,0 & 0
"INDIA TOUR OF AUSTRALIA, 2025",0(6),AUS,T20I,Melbourne,31 Oct 25,0,0,0
"INDIA TOUR OF AUSTRALIA, 2025",DNB,AUS,T20I,Canberra,29 Oct 25,DNB,DNB,DNB
"INDIA TOUR OF AUSTRALIA, 2025",DNB,AUS,ODI,Sydney,25 Oct 25,DNB,DNB,DNB
"WEST INDIES TOUR OF INDIA, 2025",DNB & DNB,WI,Test,Delhi,10 Oct 25,DNB & DNB,DNB & DNB,DNB & DNB
"WEST INDIES TOUR OF INDIA, 2025",DNB & DNB,WI,Test,Ahmedabad,02 Oct 25,DNB & DNB,DNB & DNB,DNB & DNB
ASIA CUP 2025,DNB,PAK,T20I,Dubai,28 Sep 25,DNB,DNB,DNB
ASIA CUP 2025,DNB,SL,T20I,Dubai,26 Sep 25,DNB,DNB,DNB
ASIA CUP 2025,DNB,BAN,T20I,Dubai,24 Sep 25,DNB,DNB,DNB
ASIA CUP 2025,DNB,PAK,T20I,Dubai,21 Sep 25,DNB,DNB,DNB
ASIA CUP 2025,1*(3),OMAN,T20I,Abu Dhabi,19 Sep 25,33.3,0,0
ASIA CUP 2025,DNB,PAK,T20I,Dubai,14 Sep 25,DNB,DNB,DNB
ASIA CUP 2025,DNB,UAE,T20I,Dubai,10 Sep 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Jaipur,24 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,7(8),MI,T20,Mumbai,21 May 25,87.5,0,0
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Delhi,18 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Hyderabad,05 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,1*(1),KKR,T20,Delhi,29 Apr 25,100,0,0
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Delhi,27 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,LSG,T20,Lucknow,22 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,4*(1),GT,T20,Ahmedabad,19 Apr 25,400,1,0
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Delhi,16 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,1(1),MI,T20,Delhi,13 Apr 25,100,0,0
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Bengaluru,10 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,CSK,T20,Chennai,05 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Visakhapatnam,30 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,5(5),LSG,T20,Visakhapatnam,24 Mar 25,100,1,0
"ICC CHAMPIONS TROPHY, 2025",DNB,NZ,ODI,Dubai,09 Mar 25,DNB,DNB,DNB
"ICC CHAMPIONS TROPHY, 2025",DNB,AUS,ODI,Dubai,04 Mar 25,DNB,DNB,DNB
"ICC CHAMPIONS TROPHY, 2025",1*(1),NZ,ODI,Dubai,02 Mar 25,100,0,0
"ICC CHAMPIONS TROPHY, 2025",DNB,PAK,ODI,Dubai,23 Feb 25,DNB,DNB,DNB
