Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"GIBRALTAR TOUR OF MALTA, 2026",DNB,Malta,T20I,Marsa,08 May 26,DNB,DNB,DNB
"GIBRALTAR TOUR OF MALTA, 2026",DNB,Malta,T20I,Marsa,07 May 26,DNB,DNB,DNB
BULGARIA T20I TRI-SERIES 2025,9*(8),BGR,T20I,Sofia,13 Jul 25,112.5,1,0
BULGARIA T20I TRI-SERIES 2025,DNB,TKY,T20I,Sofia,12 Jul 25,DNB,DNB,DNB
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",DNB,NOR,T20I,Krefeld,13 Jul 24,DNB,DNB,DNB
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",3*(2),SWE,T20I,Krefeld,11 Jul 24,150,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",11(11),SLV,T20I,Krefeld,10 Jul 24,100,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",DNB,GER,T20I,Krefeld,08 Jul 24,DNB,DNB,DNB
LUXEMBOURG TOUR OF GIBRALTAR 2023,20*(12),LUX,T20I,Gibraltar,15 Oct 23,166.6,0,1
LUXEMBOURG TOUR OF GIBRALTAR 2023,0(3),LUX,T20I,Gibraltar,15 Oct 23,0,0,0
SERBIA TOUR OF GIBRALTAR 2023,DNB,SRB,T20I,Gibraltar,05 Oct 23,DNB,DNB,DNB
SERBIA TOUR OF GIBRALTAR 2023,DNB,SRB,T20I,Gibraltar,05 Oct 23,DNB,DNB,DNB
GIBRALTAR T20I TRI-SERIES 2023,1*(1),PORT,T20I,Gibraltar,06 May 23,100,0,0
GIBRALTAR T20I TRI-SERIES 2023,6(8),Malta,T20I,Gibraltar,06 May 23,75,0,0
GIBRALTAR T20I TRI-SERIES 2023,DNB,Malta,T20I,Gibraltar,05 May 23,DNB,DNB,DNB
GIBRALTAR T20I TRI-SERIES 2023,0(3),PORT,T20I,Gibraltar,04 May 23,0,0,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",DNB,PORT,T20I,Albergaria,11 Apr 23,DNB,DNB,DNB
"GIBRALTAR TOUR OF PORTUGAL, 2023",DNB,PORT,T20I,Albergaria,11 Apr 23,DNB,DNB,DNB
"GIBRALTAR TOUR OF PORTUGAL, 2023",3(7),PORT,T20I,Albergaria,10 Apr 23,42.8,0,0
