Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,1(6),WSM,T20I,"Sano, Kanto",09 May 26,16.6,0,0
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,2(2),PHI,T20I,"Sano, Kanto",08 May 26,100,0,0
"INDONESIA TOUR OF MALAYSIA, 2026",0(3),MLY,T20I,Kuala Lumpur,05 May 26,0,0,0
"INDONESIA TOUR OF MALAYSIA, 2026",8(19),MLY,T20I,Kuala Lumpur,04 May 26,42.1,0,0
"INDONESIA TOUR OF MALAYSIA, 2026",4(10),MLY,T20I,Kuala Lumpur,02 May 26,40,1,0
"INDONESIA TOUR OF MALAYSIA, 2026",5(17),MLY,T20I,Kuala Lumpur,01 May 26,29.4,0,0
"SWEDEN TOUR OF INDONESIA, 2026",4(6),SWE,T20I,Bali,13 Apr 26,66.6,0,0
"SWEDEN TOUR OF INDONESIA, 2026",28(22),SWE,T20I,Bali,13 Apr 26,127.2,2,2
"SWEDEN TOUR OF INDONESIA, 2026",10(6),SWE,T20I,Bali,11 Apr 26,166.6,1,1
"SWEDEN TOUR OF INDONESIA, 2026",46(28),SWE,T20I,Bali,11 Apr 26,164.2,2,5
"SWEDEN TOUR OF INDONESIA, 2026",5(4),SWE,T20I,Bali,09 Apr 26,125,1,0
"SWEDEN TOUR OF INDONESIA, 2026",1(2),SWE,T20I,Bali,09 Apr 26,50,0,0
"SWEDEN TOUR OF INDONESIA, 2026",0(1),SWE,T20I,Bali,07 Apr 26,0,0,0
"SWEDEN TOUR OF INDONESIA, 2026",17(12),SWE,T20I,Bali,07 Apr 26,141.6,0,2
"CAMBODIA TOUR OF INDONESIA, 2025",DNB,CBD,T20I,Bali,29 Dec 25,DNB,DNB,DNB
"CAMBODIA TOUR OF INDONESIA, 2025",5*(3),CBD,T20I,Bali,28 Dec 25,166.6,1,0
"CAMBODIA TOUR OF INDONESIA, 2025",9*(6),CBD,T20I,Bali,28 Dec 25,150,0,1
"CAMBODIA TOUR OF INDONESIA, 2025",15(12),CBD,T20I,Bali,25 Dec 25,125,0,1
"CAMBODIA TOUR OF INDONESIA, 2025",15*(16),CBD,T20I,Bali,24 Dec 25,93.7,1,0
"CAMBODIA TOUR OF INDONESIA, 2025",13(19),CBD,T20I,Bali,23 Dec 25,68.4,0,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,32(22),SIN,T20I,Bangkok,12 Dec 25,145.4,3,2
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,0(1),PHI,T20I,Bangkok,11 Dec 25,0,0,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,18(39),MLY,T20I,Bangkok,10 Dec 25,46.1,0,1
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,0(3),THAI,T20I,Bangkok,09 Dec 25,0,0,0
"BAHRAIN TOUR OF INDONESIA, 2025",14(11),BHR,T20I,Bali,21 Nov 25,127.2,0,2
"BAHRAIN TOUR OF INDONESIA, 2025",0(2),BHR,T20I,Bali,19 Nov 25,0,0,0
"BAHRAIN TOUR OF INDONESIA, 2025",12(10),BHR,T20I,Bali,18 Nov 25,120,1,1
INDONESIA TRI-SERIES 2025,DNB,TLS,T20I,Bali,13 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,DNB,MMR,T20I,Bali,13 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,DNB,TLS,T20I,Bali,11 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,22*(9),MMR,T20I,Bali,11 Nov 25,244.4,1,2
INDONESIA TRI-SERIES 2025,13*(8),MMR,T20I,Bali,08 Nov 25,162.5,3,0
INDONESIA TRI-SERIES 2025,DNB,TLS,T20I,Bali,08 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,DNB,MMR,T20I,Bali,06 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,DNB,TLS,T20I,Bali,06 Nov 25,DNB,DNB,DNB
INDONESIA T20I TRI-SERIES 2025,10(9),PHI,T20I,Bali,13 Jul 25,111.1,0,1
"CAMBODIA TOUR OF INDONESIA, 2025",1(9),CBD,T20I,Bali,15 Jun 25,11.1,0,0
