Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",DNB,MLYW,T20I,Mong Kok,07 May 26,DNB,DNB,DNB
BHUTAN WOMEN'S T20I TRI-SERIES 2026,DNB,BTNW,T20I,Gelephu,29 Jan 26,DNB,DNB,DNB
BHUTAN WOMEN'S T20I TRI-SERIES 2026,DNB,MLYW,T20I,Gelephu,26 Jan 26,DNB,DNB,DNB
BHUTAN WOMEN'S T20I TRI-SERIES 2026,1*(1),BTNW,T20I,Gelephu,25 Jan 26,100,0,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,DNB,BTNW,T20I,Gelephu,22 Jan 26,DNB,DNB,DNB
BHUTAN WOMEN'S T20I TRI-SERIES 2026,DNB,MLYW,T20I,Gelephu,21 Jan 26,DNB,DNB,DNB
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",1*(1),MLYW,T20I,Kuala Lumpur,03 Dec 25,100,0,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",DNB,MLYW,T20I,Kuala Lumpur,01 Dec 25,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",DNB,CHNW,T20I,Hangzhou,10 Nov 24,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",DNB,MGLW,T20I,Hangzhou,09 Nov 24,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",2(8),CHNW,T20I,Hangzhou,08 Nov 24,25,0,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",2(4),MMRW,T20I,Hangzhou,07 Nov 24,50,0,0
"ASIAN GAMES WOMENS T20I, 2023",DNB,MGLW,T20I,Hangzhou,20 Sep 23,DNB,DNB,DNB
"ASIAN GAMES WOMENS T20I, 2023",9(12),MLYW,T20I,Hangzhou,19 Sep 23,75,1,0
HONG KONG WOMEN TOUR OF MALAYSIA 2023,18(11),MLYW,T20I,Kuala Lumpur,15 Sep 23,163.6,3,0
HONG KONG WOMEN TOUR OF MALAYSIA 2023,1*(2),MLYW,T20I,Kuala Lumpur,13 Sep 23,50,0,0
HONG KONG WOMEN TOUR OF MALAYSIA 2023,3*(3),MLYW,T20I,Kuala Lumpur,12 Sep 23,100,0,0
WOMENS EAST ASIA CUP 2023,4(4),CHNW,T20I,Hangzhou,28 May 23,100,0,0
WOMENS EAST ASIA CUP 2023,DNB,JPNW,T20I,Hangzhou,27 May 23,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2023,3(17),CHNW,T20I,Hangzhou,26 May 23,17.6,0,0
WOMENS EAST ASIA CUP 2023,2(7),CHNW,T20I,Hangzhou,25 May 23,28.5,0,0
